Name,Age,last_3_yr_avg,predicted_minutes
Stephen Curry,32.0,1540.6666666666667,1203.8519518964877
John Wall,30.0,1267.3333333333333,1083.6180239802538
Russell Westbrook,32.0,2349.3333333333335,1841.3634767186643
James Harden,31.0,2319.6666666666665,1865.5998513705715
Damian Lillard,30.0,2570.0,2110.5739345346915
LeBron James,36.0,1919.0,1311.6143996353035
Kevin Durant,32.0,2061.3333333333335,1614.318976534674
Giannis Antetokounmpo,26.0,2096.0,1927.3927697208699
Paul George,30.0,2027.0,1682.5004498127932
Kawhi Leonard,29.0,1887.0,1619.7556559914358
Klay Thompson,28.0,2602.3333333333335,2231.3120050776233
Jimmy Butler,31.0,1963.0,1584.4220560038243
Tobias Harris,28.0,2443.3333333333335,2105.9645206010455
Khris Middleton,29.0,2171.6666666666665,1844.1723263121853
Anthony Davis,27.0,1714.3333333333333,1578.882189945069
Rudy Gobert,28.0,2365.6666666666665,2044.7360847875389
Kyrie Irving,28.0,1586.0,1430.086679775556
Bradley Beal,27.0,2409.3333333333335,2126.7847164307404
Kristaps Porziņģis,25.0,1564.6666666666667,1556.1407499550628
Devin Booker,24.0,2341.3333333333335,2216.049168524878
Karl-Anthony Towns,25.0,1807.0,1747.1839810126564
Ben Simmons,24.0,2198.0,2103.052484405531
Jamal Murray,23.0,2018.3333333333333,2009.03651521161
Joel Embiid,26.0,1748.3333333333333,1653.3101149848724
Andrew Wiggins,25.0,2255.0,2100.364314632197
Pascal Siakam,26.0,2221.3333333333335,2026.1991725787175
Kevin Love,32.0,1000.0,777.6179480788578
CJ McCollum,29.0,2177.0,1848.3768540933706
Chris Paul,35.0,2088.0,1492.469434136352
Nikola Jokić,25.0,2442.6666666666665,2248.311135932644
Jrue Holiday,30.0,2142.0,1773.160580094595
D'Angelo Russell,24.0,1698.6666666666667,1709.4035708920849
Gordon Hayward,30.0,1699.6666666666667,1424.4475572425636
Blake Griffin,31.0,1440.0,1172.1155504613698
Brandon Ingram,23.0,1985.6666666666667,1983.283782551852
De'Aaron Fox,23.0,2072.0,2051.3445760097843
Bam Adebayo,23.0,2157.6666666666665,2118.8798034950682
Donovan Mitchell,24.0,2244.3333333333335,2139.579319504576
Jayson Tatum,22.0,2336.6666666666665,2307.618327585839
Al Horford,34.0,1593.3333333333333,1150.1235428661917
Kyle Lowry,34.0,1970.6666666666667,1447.593883385031
DeMar DeRozan,31.0,2353.3333333333335,1892.140932989302
Kemba Walker,30.0,1991.3333333333333,1654.3826702761185
Jaylen Brown,24.0,1948.6666666666667,1906.490810635132
Draymond Green,30.0,1756.3333333333333,1469.120664917654
Nikola Vučević,30.0,2285.3333333333335,1886.157264213942
John Collins,23.0,1680.0,1742.3117840926864
Buddy Hield,28.0,2421.3333333333335,2088.6208435036574
Malcolm Brogdon,28.0,1809.3333333333333,1606.151280612678
Tim Hardaway Jr.,28.0,2044.3333333333333,1791.4132859711422
Mike Conley,33.0,1734.3333333333333,1308.904806516019
Gary Harris,26.0,1499.6666666666667,1457.2740071871215
